DestinationId;RegionId;AirportName
1350GNI;1350;Green Island, Taiwan
180545;180545;Changi Airport (SIN), Singapore
602399;602399;Hong Kong International Airport (HKG), Hong Kong
6025583;6025583;East Midlands Airport (EMA), England, United Kingdom
602957;602957;Dulles Airport (IAD), Virginia, United States of America
6048133;6048133;Tampa International Airport (TPA), Florida, United States of America
6048238;6048238;Haneda Airport (HND), Japan
6049093;6049093;Hongqiao International Airport (SHA), Shanghai, China
6049096;6049096;Pudong International Airport (PVG), Shanghai, China
6049532;6049532;Malpensa International Airport (MXP), Italy
6049533;6049533;Linate Airport (LIN), Italy
6049716;6049716;Incheon International Airport (ICN), Incheon, South Korea
6049865;6049865;Sydney Airport (SYD), New South Wales, Australia
6049995;6049995;Suvarnabhumi International Airport (BKK), Thailand
6050100;6050100;Chhatrapati Shivaji International Airport (BOM), India
6050101;6050101;Santa Cruz Domestic Airport (BOM), India
6050376;6050376;Blagnac Airport (TLS), France
6050893;6050893;Kansai International Airport (KIX), Japan
6051135;6051135;Hamburg Airport (HAM), Germany
6051409;6051409;Benito Juarez International Airport (MEX), Distrito Federal, Mexico
6051447;6051447;Tegel Airport (TXL), Germany
6051499;6051499;Vienna International Airport (VIE), Austria
6051688;6051688;Franz Josef Strauss International Airport (MUC), Germany
6051778;6051778;Kastrup Airport (CPH), Denmark
6051983;6051983;Fiumicino Airport (FCO), Italy
6051984;6051984;Ciampino Airport (CIA), Italy
6052025;6052025;Melbourne Airport (MEL), Victoria, Australia
6052155;6052155;Brussels Airport (BRU), Brussels, Belgium
6052210;6052210;Schiphol Airport (AMS), Netherlands
6052409;6052409;Geneva International Airport (GVA), Geneva, Switzerland
6052528;6052528;Dublin Airport (DUB), Ireland
6052659;6052659;Barcelona El Prat Airport (BCN), Spain
6052695;6052695;Auckland International Airport (AKL), New Zealand
6052779;6052779;Arlanda Airport (ARN), Sweden
6052803;6052803;Marseille - Provence Airport (MRS), France
6053029;6053029;Rio de Janeiro International Airport (GIG), Brazil
6053214;6053214;Roissy - Charles de Gaulle Airport (CDG), France
6053216;6053216;Orly Airport (ORY), France
6053437;6053437;Frankfurt Airport (FRA), Germany
6053449;6053449;Adolfo Suarez Madrid-Barajas Airport (MAD), Spain
6053496;6053496;Cologne - Bonn Airport (CGN), Germany
6053498;6053498;Duesseldorf International Airport (DUS), Germany
6053744;6053744;Cuscatlan International Airport (SAL), El Salvador
6054007;6054007;Boise Airport (BOI), Idaho, United States of America
6054059;6054059;Birmingham Airport (BHX), England, United Kingdom
6054146;6054146;New Chitose Airport (CTS), Sapporo, Japan
6054190;6054190;Aberdeen Airport (ABZ), Scotland, United Kingdom
